address_id,street,city,state,zip_code,latitude,longitude
1,900 Second Street,Alexandria,VA,22314,38.816584,-77.046529
2,2100 Clarendon Blvd,Arlington,VA,22201,38.890459,-77.085397
3,4081 University Drive,Fairfax,VA,22030,38.843623,-77.30565
4,12099 Government Center Parkway,Fairfax,VA,22035,38.857504,-77.362582
5,5930 16th Street,Fort Belvoir,VA,22060,38.692376,-77.142144
6,415 Sheridan Avenue,Fort Myer,VA,22211,38.88239,-77.082713
7,801 Sycolin Road Suite 200,Leesburg,VA,20175,39.083326,-77.553852
8,9324 West Street Suite 103,Manassas,VA,20110,38.751906,-77.474775
9,9080 Manassas Drive,Manassas Park,VA,20111,38.770152,-77.445913
10,1 Aviation Circle,Arlington,VA,22202,38.858019,-77.043446
11,1 County Complex Court,Prince William,VA,22192,38.679675,-77.352999
12,9201 Basil Court,Largo,MD,20774,38.882700,-76.835500
13,100 Edison Park Drive,Gaithersburg,MD,20878,39.112916,-77.236157
