dept_id,department_name,department_short_name,department_abbreviation
200,City of Alexandria Fire Department,Alexandria Fire,AFD
100,Arlington County Fire Department,Arlington County Fire,ACFD
430,City of Fairfax Fire Department,Fairfax City Fire,CFXFD
400,Fairfax County Fire and Rescue Department,Fairfax County Fire and Rescue,FCFRD
460,Fort Belvoir Fire Department,Fort Belvoir Fire,FBFD
160,Joint Base Myer-Henderson Hall Fire and Emergency Services,JBM-HH Fire & EMS,JBMHH-FES
600,Loudoun County Department of Fire and Rescue Services,Loudoun Fire and Rescue,LCFR
520,City of Manassas Fire and Rescue,Manassas Fire and Rescue,MFR
509,City of Manassas Park Fire and Rescue,Manassas Park Fire and Rescue,MPFR
300,Metropolitan Washington Airports Authority Fire Department,MWAA Fire,MWAAFD
500,Prince William County Department of Fire and Rescue,Prince William Fire and Rescue,PWCDFR
700,Prince George's County Fire/EMS Department,Prince George's Fire/EMS,PGFD
800,Montgomery County Fire and Rescue Service,Montgomery County Fire and Rescue,MCFRS
